公司名,职位名,工作地点,薪资水平
武汉金测检测技术有限公司,c#,苏州-昆山,12500.0
苏州市安孚企业管理信息咨询服务有限公司,php,苏州-吴中,25000.0
浩辰软件,c#,苏州,12500.0
全亿健康药房有限公司,.net,苏州-吴中,14500.0
苏州金橙子激光技术有限公司,c#,苏州-虎丘,18000.0
苏州格道企业管理咨询有限公司,c#,苏州-虎丘,20000.0
苏州空谷网络科技有限公司,php,苏州-虎丘,4000.0
苏州优备精密智能装备股份有限公司,c#,苏州-虎丘,18000.0
昆山亚得利智能科技有限公司,嵌入式,苏州-昆山,14000.0
苏州金色未来信息咨询股份有限公司,c#,苏州-吴中,17000.0
苏州正雄企业发展有限公司,java,苏州,27500.0
苏州吾域科技有限公司,python,苏州-吴中,17500.0
博彦科技承德有限公司,c++,苏州-虎丘,17500.0
苏州硕实电子科技有限公司,嵌入式,苏州-相城,17500.0
苏州格道企业管理咨询有限公司,java,苏州-虎丘,16000.0
昆山市工业技术研究院有限责任公司,嵌入式,苏州,15000.0
苏州艾氪英诺机器人科技有限公司,c++,苏州-相城,24500.0
急速国际物流科技(深圳)有限公司,php,苏州-姑苏,10000.0
苏州视印智能系统有限公司,嵌入式,苏州,11500.0
苏州金色未来信息咨询股份有限公司,c#,苏州-吴中,12500.0
苏州艾氪英诺机器人科技有限公司,c++,苏州-相城,20000.0
北京帝森克罗德技术有限公司,嵌入式,苏州-昆山,12000.0
深圳市德晟达电子科技有限公司,嵌入式,苏州-虎丘,27500.0
昆山凯蓝环保科技有限公司,嵌入式,苏州-昆山,11500.0
郑州海奥软件科技有限公司,.net,苏州-吴中,13000.0
北京启融科技有限公司,嵌入式,苏州-吴中,32500.0
江苏苏净集团有限公司,嵌入式,苏州,9500.0
江苏兰之天软件技术有限公司,.net,苏州-太仓,12000.0
ユニークシステム株式会社,.net,苏州,17500.0
乐普医疗,c++,苏州-虎丘,19000.0
成都卓影科技股份有限公司,java,上海-浦东,15500.0
上海太屋网络科技有限公司,java,上海-浦东,14000.0
蓝聪科技(上海)股份有限公司,java,上海-浦东,11000.0
上海金亥通信设备有限公司,java,上海-浦东,11500.0
成都迈思信息技术有限公司,java,上海-徐汇,18500.0
上海宝掣科技有限公司,java,上海-宝山,9500.0
杭州茵岢科技有限责任公司,golang,上海-杨浦,15500.0
沛德光电科技(上海)有限公司,java,上海-浦东,20000.0
德科信息有限公司,java,上海-青浦,18000.0
杭州尽良筹物业管理有限公司,java,上海-浦东,20000.0
北京中软环球信息技术有限公司,java,上海-黄浦,15500.0
熠保科技(上海)有限公司,python,上海-浦东,25000.0
上海复深蓝软件股份有限公司,java,上海-黄浦,17000.0
武汉讯锡云科技有限公司,python,上海-青浦,23500.0
吉祥航空,java,上海,21500.0
