"19","海隆软件(昆山)有限公司","对日项目经理（对日PM）","苏州-昆山","2万-2.8万"
"20","中盛评估咨询有限公司","软件系统开发负责人","苏州","2万-2.5万"
"21","西安纽伦信息科技有限公司","赴日IT工程师","苏州-姑苏","1万-2万"
"22","麦迪斯顿",".NET软件研发工程师","苏州-吴中","1万-1.5万"
"23","苏州商路信息科技有限公司","c/c++嵌入式软件开发","苏州-吴中","1.1万-2.2万"
"24","阳光软件株式会社","赴日软件工程师","苏州","1.5万-3万"
"25","无锡盛世网络科技有限公司","C++开发工程师","苏州-虎丘","1.8万-2.5万"
"26","上海优集工业软件有限公司","PLM开发经理","苏州-虎丘","1.5万-3万"
"27","上海坤亿信息技术有限公司","golang","苏州-吴中","1万-1.5万"
"28","永卓控股有限公司","项目工程师（财经管理或采购管理或工程项目管理或设备管理或质量管理）","苏州-张家港","1.2万-1.6万"
"29","旺宏微电子(苏州)有限公司","PDK开发工程师","苏州","1.5万-3万"
"0","宇锋智能","C++软件开发工程师","苏州-吴中","2万-3万"
"1","急速国际物流科技(深圳)有限公司","苏州php工程师","苏州-姑苏","8千-1.2万"
"2","国讯芯微(苏州)科技有限公司","资深c++开发工程师","苏州-虎丘","1.9万-3万"
"3","名硕电脑","软体研发高级工程师","苏州","7千-1.1万"
"4","江苏博欧控股有限公司","IT主管工程师","苏州-昆山","8千-1.5万"
"5","永旺永乐（江苏）物业服务有限公司","DX（数字化转型）总监","苏州","2万-2.5万"
"6","北京青麦科技有限公司","软件技术经理","苏州-虎丘","1.8万-2.2万"
"7","苏州金橙子激光技术有限公司","c++软件工程师","苏州-虎丘","1万-1.5万"
"8","苏州爱启网络科技有限公司","PHP程序员/PHP开发工程师/技术经理/网站开发","苏州","6千-1.2万"
"9","浙江维日托自动化科技有限公司","软件工程师","苏州-吴中","1.1万-1.6万"
"10","苏州商路信息科技有限公司","LinuxC驱动","苏州-吴中","1.5万-3万"
"11","凌志软件","magento程序员","苏州-工业园区","8千-1.3万"
"12","鹤壁海昌智能科技股份有限公司","C#上位机软件工程师","苏州-昆山","1.3万-2.6万"
"13","苏州杰锐思智能科技股份有限公司","c++软件工程师","苏州-吴中","1.9万-2.7万"
"14","昆山艾派斯软件科技有限公司","WCS工程师","苏州-昆山","1.5万-2万"
"15","佳运通电子科技（昆山）有限公司",".net软件工程师","苏州-昆山","1.5万-2万"
"16","南京鑫业诚机器人科技有限公司","软件工程师","苏州-虎丘","1.5万-2.5万"
"17","永卓控股有限公司","高级技术工程师","苏州-张家港","1.2万-2.2万"
